Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (13318191),Christian McCaffrey,13318191,CPT,18600,TB@CAR 09/12/2019 08:20PM ET,CAR,45.9
QB,Cam Newton (13318192),Cam Newton,13318192,CPT,16500,TB@CAR 09/12/2019 08:20PM ET,CAR,7.36
QB,Jameis Winston (13318193),Jameis Winston,13318193,CPT,15600,TB@CAR 09/12/2019 08:20PM ET,TB,10.06
WR,Mike Evans (13318194),Mike Evans,13318194,CPT,14400,TB@CAR 09/12/2019 08:20PM ET,TB,4.8
WR,Chris Godwin (13318195),Chris Godwin,13318195,CPT,12900,TB@CAR 09/12/2019 08:20PM ET,TB,14.3
RB,Christian McCaffrey (13318154),Christian McCaffrey,13318154,FLEX,12400,TB@CAR 09/12/2019 08:20PM ET,CAR,45.9
WR,DJ Moore (13318196),DJ Moore,13318196,CPT,12000,TB@CAR 09/12/2019 08:20PM ET,CAR,13.6
QB,Cam Newton (13318155),Cam Newton,13318155,FLEX,11000,TB@CAR 09/12/2019 08:20PM ET,CAR,7.36
WR,Curtis Samuel (13318197),Curtis Samuel,13318197,CPT,10500,TB@CAR 09/12/2019 08:20PM ET,CAR,6.2
QB,Jameis Winston (13318156),Jameis Winston,13318156,FLEX,10400,TB@CAR 09/12/2019 08:20PM ET,TB,10.06
TE,O.J. Howard (13318198),O.J. Howard,13318198,CPT,9900,TB@CAR 09/12/2019 08:20PM ET,TB,6.2
WR,Mike Evans (13318157),Mike Evans,13318157,FLEX,9600,TB@CAR 09/12/2019 08:20PM ET,TB,4.8
TE,Greg Olsen (13318199),Greg Olsen,13318199,CPT,9300,TB@CAR 09/12/2019 08:20PM ET,CAR,7.6
QB,Ryan Griffin (13318200),Ryan Griffin,13318200,CPT,8700,TB@CAR 09/12/2019 08:20PM ET,TB,0
QB,Kyle Allen (13318201),Kyle Allen,13318201,CPT,8700,TB@CAR 09/12/2019 08:20PM ET,CAR,0
QB,Blaine Gabbert (13318202),Blaine Gabbert,13318202,CPT,8700,TB@CAR 09/12/2019 08:20PM ET,TB,0
QB,Will Grier (13318203),Will Grier,13318203,CPT,8700,TB@CAR 09/12/2019 08:20PM ET,CAR,0
WR,Chris Godwin (13318158),Chris Godwin,13318158,FLEX,8600,TB@CAR 09/12/2019 08:20PM ET,TB,14.3
RB,Peyton Barber (13318204),Peyton Barber,13318204,CPT,8100,TB@CAR 09/12/2019 08:20PM ET,TB,6.5
WR,DJ Moore (13318159),DJ Moore,13318159,FLEX,8000,TB@CAR 09/12/2019 08:20PM ET,CAR,13.6
RB,Ronald Jones II (13318205),Ronald Jones II,13318205,CPT,7500,TB@CAR 09/12/2019 08:20PM ET,TB,10.3
WR,Curtis Samuel (13318160),Curtis Samuel,13318160,FLEX,7000,TB@CAR 09/12/2019 08:20PM ET,CAR,6.2
WR,Breshad Perriman (13318206),Breshad Perriman,13318206,CPT,6900,TB@CAR 09/12/2019 08:20PM ET,TB,3
TE,O.J. Howard (13318161),O.J. Howard,13318161,FLEX,6600,TB@CAR 09/12/2019 08:20PM ET,TB,6.2
