Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Saquon Barkley (13372160),Saquon Barkley,13372160,RB/FLEX,9100,NYG@TB 09/22/2019 04:05PM ET,NYG,23.2
RB,Ezekiel Elliott (13372162),Ezekiel Elliott,13372162,RB/FLEX,8900,MIA@DAL 09/22/2019 01:00PM ET,DAL,18.15
RB,Christian McCaffrey (13372164),Christian McCaffrey,13372164,RB/FLEX,8700,CAR@ARI 09/22/2019 04:05PM ET,CAR,26.6
RB,Alvin Kamara (13372166),Alvin Kamara,13372166,RB/FLEX,8000,NO@SEA 09/22/2019 04:25PM ET,NO,15.45
RB,Dalvin Cook (13372168),Dalvin Cook,13372168,RB/FLEX,7800,OAK@MIN 09/22/2019 01:00PM ET,MIN,30.05
WR,DeAndre Hopkins (13372438),DeAndre Hopkins,13372438,WR/FLEX,7800,HOU@LAC 09/22/2019 04:25PM ET,HOU,21.55
WR,Odell Beckham Jr. (13372442),Odell Beckham Jr.,13372442,WR/FLEX,7700,LAR@CLE 09/22/2019 08:20PM ET,CLE,22.6
WR,Davante Adams (13372440),Davante Adams,13372440,WR/FLEX,7600,DEN@GB 09/22/2019 01:00PM ET,GB,14.1
QB,Patrick Mahomes (13372080),Patrick Mahomes,13372080,QB,7600,BAL@KC 09/22/2019 01:00PM ET,KC,32.97
WR,Amari Cooper (13372444),Amari Cooper,13372444,WR/FLEX,7500,MIA@DAL 09/22/2019 01:00PM ET,DAL,20
WR,Michael Thomas (13372446),Michael Thomas,13372446,WR/FLEX,7400,NO@SEA 09/22/2019 04:25PM ET,NO,22.1
WR,Julio Jones (13372448),Julio Jones,13372448,WR/FLEX,7300,ATL@IND 09/22/2019 01:00PM ET,ATL,22.85
RB,Austin Ekeler (13372170),Austin Ekeler,13372170,RB/FLEX,7200,HOU@LAC 09/22/2019 04:25PM ET,LAC,31.85
TE,Travis Kelce (13372828),Travis Kelce,13372828,TE/FLEX,7100,BAL@KC 09/22/2019 01:00PM ET,KC,19.25
WR,Antonio Brown (13372450),Antonio Brown,13372450,WR/FLEX,7100,NYJ@NE 09/22/2019 01:00PM ET,NE,16.1
QB,Lamar Jackson (13372081),Lamar Jackson,13372081,QB,7000,BAL@KC 09/22/2019 01:00PM ET,BAL,35.22
WR,Tyreek Hill (13372454),Tyreek Hill,13372454,WR/FLEX,7000,BAL@KC 09/22/2019 01:00PM ET,KC,4.1
RB,Le'Veon Bell (13372172),Le'Veon Bell,13372172,RB/FLEX,7000,NYJ@NE 09/22/2019 01:00PM ET,NYJ,22.55
WR,Keenan Allen (13372452),Keenan Allen,13372452,WR/FLEX,7000,HOU@LAC 09/22/2019 04:25PM ET,LAC,23.55
WR,Chris Godwin (13372458),Chris Godwin,13372458,WR/FLEX,6900,NYG@TB 09/22/2019 04:05PM ET,TB,21.7
RB,Melvin Gordon III (13372174),Melvin Gordon III,13372174,RB/FLEX,6900,HOU@LAC 09/22/2019 04:25PM ET,LAC,0
